osm_type,osm_id,key,value,name,lat,lon,addr:street,addr:housenumber,brand,operator,website,cuisine,opening_hours,description,barrio,comuna,ipcf_promedio_pesos,porc_hogares_bajo_lp,porc_poblacion_bajo_lp,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_desocupacion_hombres,tasa_desocupacion_mujeres,tasa_subocupacion_horaria,porc_cuenta_propia,porc_asalariados_sin_jubilacion,poblacion,superficie_km2,densidad_hab_km2,porc_poblacion_en_ciudad,porc_superficie_en_ciudad,razon_varones_por_100_mujeres,edad_promedio_anios,porc_poblacion_0_14,porc_poblacion_15_64,porc_65mas,porc_poblacion_nacida_en_ciudad,Tasa global de fecundidad (hijos/as por mujer)1 ,Tasa de mortalidad infantil (por mil nacidos/as vivos/as) 1 ,Tasa bruta de natalidad (por mil) (2023) ,Tasa bruta de mortalidad (por mil) (2023) ,tasa_crecimiento_vegetativo_2023_por_mil,porc_mujeres_14mas_sin_hijos,porc_mujeres_14mas_con_1o2_hijos,Porcentaje de mujeres de 14 años y más que tuvieron más de 2 hijos/as,tamano_medio_hogar,porc_hogares_unipersonales,porc_poblacion_14mas_unida,porc_hogares_familiares,porc_hogares_no_familiares,_name_norm,chain_count,is_chain,regex_label,manual_label,unified_label
node,573387910,amenity,restaurant,La Continental,-34.6049935,-58.3920593,,,,,,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,la continental,6,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,573387918,amenity,restaurant,La Continental,-34.6139666,-58.3918881,,,,,https://www.lacontinental.com/,pizza,Mo-Th 07:00-01:00; Fr 07:00-03:00; Sa 07:00-04:00; Su 07:00-01:00,"Pizzas, Empanadas, Tartas, Minutas, Pastas, Ensaladas, Sandwiches, Cafeteria y postres",BALVANERA,3.0,685561.0,25.7,32.3,63.7,59.9,"5,9a","5,2b","6,8b","9,4a",19.8,26.9,"193,790",6.4,30280.0,6.3,3.1,90.1,39.2,17.4,65.8,16.8,50.5,1.1,8.2,7.7,9.7,-2.0,38.2,42.5,19.3,2.2,41.3,48.0,57.7,42.3,la continental,6,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,573401950,amenity,restaurant,La Quintana Parque Patricios,-34.6369592,-58.4054746,,,,,,pizza,,,PARQUE PATRICIOS,4.0,573468.0,32.2,40.7,59.9,54.3,"9,3a","7,6a","11,3a","11,9a",21.1,32.5,"241,096",22.7,10621.0,7.8,11.0,92.7,35.0,24.3,62.3,13.4,64.3,1.3,5.7,8.5,8.3,0.2,29.5,41.5,29.0,2.6,31.3,43.1,68.3,31.7,la quintana parque patricios,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,672895173,amenity,restaurant,Solomia,-34.5505831,-58.4563155,,,,,,,"Tu-Su 12:00-16:00,20:00-24:00; Mo off",,NUÑEZ,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,15782.0,7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7,solomia,1,False,Sin motivo claro / nombre genérico,Personal / familiar,Sin motivo claro / nombre genérico
node,680013623,amenity,cinema,Hoyts Abasto,-34.6025628,-58.4105712,,,,Hoyts,,,,,BALVANERA,3.0,685561.0,25.7,32.3,63.7,59.9,"5,9a","5,2b","6,8b","9,4a",19.8,26.9,"193,790",6.4,30280.0,6.3,3.1,90.1,39.2,17.4,65.8,16.8,50.5,1.1,8.2,7.7,9.7,-2.0,38.2,42.5,19.3,2.2,41.3,48.0,57.7,42.3,hoyts abasto,1,False,Folklore y cultura local argentina,,Sin motivo claro / nombre genérico
node,724251828,amenity,restaurant,Banchero,-34.6040547,-58.3849795,Avenida Corrientes,1300,,,,pizza,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,banchero,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,724573805,amenity,restaurant,El Cuartito,-34.5978238,-58.385465,Talcahuano,937,,,,pizza,Mo off; Tu-Su 12:30-01:00,"Histórica y tradicional pizzería, fundada en 1934.",RETIRO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,el cuartito,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,724607071,amenity,cafe,Tienda,-34.5919425,-58.3997708,,,,,,,,,RECOLETA,2.0,1046451.0,17.0,15.7,64.5,61.8,"4,2b", ---,"5,6b","6,5a",19.6,25.5,"149,345",6.3,23706.0,4.8,3.1,80.5,42.5,11.4,67.5,21.1,46.0,1.3,4.2,9.8,10.5,-0.7,50.4,37.0,12.6,1.8,54.2,44.9,45.6,54.4,tienda,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,724701138,amenity,restaurant,El Museo del Jamón,-34.6229088,-58.3646203,,,,,,,,,PUERTO MADERO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,el museo del jamon,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,767725549,amenity,theatre,Opera Allianz,-34.6037068,-58.378948,Avenida Corrientes,,,,,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,opera allianz,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
