name,regex_label
Bellaria,Sin motivo claro / nombre genérico
Bellaria,Sin motivo claro / nombre genérico
Bellaria,Sin motivo claro / nombre genérico
Belushi,Sin motivo claro / nombre genérico
Belvedere Panaderia,Sin motivo claro / nombre genérico
Benavente,Sin motivo claro / nombre genérico
Benavidez,Sin motivo claro / nombre genérico
Benedetta,Sin motivo claro / nombre genérico
Benigno,Sin motivo claro / nombre genérico
Benjamin,Sin motivo claro / nombre genérico
Benjamin,Sin motivo claro / nombre genérico
Berlin,Sin motivo claro / nombre genérico
Berlina Bunker,Sin motivo claro / nombre genérico
Berlina Bunker,Sin motivo claro / nombre genérico
Bernardo,Sin motivo claro / nombre genérico
Besares,Sin motivo claro / nombre genérico
Beto,Sin motivo claro / nombre genérico
Betular,Sin motivo claro / nombre genérico
Bharat,Sin motivo claro / nombre genérico
Bi-Won,Sin motivo claro / nombre genérico
Bianca,Sin motivo claro / nombre genérico
Biblos,Sin motivo claro / nombre genérico
Biblos,Sin motivo claro / nombre genérico
Biblos,Sin motivo claro / nombre genérico
Biblos,Sin motivo claro / nombre genérico
Bicho,Sin motivo claro / nombre genérico
Bien de Bien,Sin motivo claro / nombre genérico
Bier Welt,Sin motivo claro / nombre genérico
BierLife,Sin motivo claro / nombre genérico
Bierhof,Sin motivo claro / nombre genérico
Bilbo,Sin motivo claro / nombre genérico
Bilbo Café,Sin motivo claro / nombre genérico
Bimbo Outlet,Sin motivo claro / nombre genérico
Bio sólo orgánico,Sin motivo claro / nombre genérico
Bioma,Sin motivo claro / nombre genérico
Birkin,Sin motivo claro / nombre genérico
Birkin,Sin motivo claro / nombre genérico
Birmania,Sin motivo claro / nombre genérico
Bisatti,Sin motivo claro / nombre genérico
Biscottini,Sin motivo claro / nombre genérico
Biutiful,Sin motivo claro / nombre genérico
Black & White,Sin motivo claro / nombre genérico
Black Clover,Sin motivo claro / nombre genérico
Black Clover,Sin motivo claro / nombre genérico
Black Sam Bellamy,Sin motivo claro / nombre genérico
Blanca,Sin motivo claro / nombre genérico
Blest,Sin motivo claro / nombre genérico
Blu,Sin motivo claro / nombre genérico
Blue,Sin motivo claro / nombre genérico
Boa Lua,Sin motivo claro / nombre genérico
Bocanada,Sin motivo claro / nombre genérico
Bodega Negra,Sin motivo claro / nombre genérico
Bodensee,Sin motivo claro / nombre genérico
Boedo XXI,Sin motivo claro / nombre genérico
Bogotá,Sin motivo claro / nombre genérico
Boiro,Sin motivo claro / nombre genérico
Bollito,Sin motivo claro / nombre genérico
Bombonera Sandwichería,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonafide,Sin motivo claro / nombre genérico
Bonus track,Sin motivo claro / nombre genérico
Boreal Café,Sin motivo claro / nombre genérico
Boris Club de Jazz,Sin motivo claro / nombre genérico
Borja,Sin motivo claro / nombre genérico
Borja,Sin motivo claro / nombre genérico
Borne Bar de Copas,Sin motivo claro / nombre genérico
Boticario,Sin motivo claro / nombre genérico
Boulan,Sin motivo claro / nombre genérico
Boulevard,Sin motivo claro / nombre genérico
Boulevard Córdoba,Sin motivo claro / nombre genérico
Bracia,Sin motivo claro / nombre genérico
Brandon,Sin motivo claro / nombre genérico
Braus,Sin motivo claro / nombre genérico
Bravas,Sin motivo claro / nombre genérico
Bravo,Sin motivo claro / nombre genérico
Brač,Sin motivo claro / nombre genérico
Breoghan,Sin motivo claro / nombre genérico
Brera,Sin motivo claro / nombre genérico
Bricco,Sin motivo claro / nombre genérico
Brillante,Sin motivo claro / nombre genérico
Brisas,Sin motivo claro / nombre genérico
British Arts Centre,Sin motivo claro / nombre genérico
Broa,Sin motivo claro / nombre genérico
Brooklyn Bakery,Sin motivo claro / nombre genérico
Brucia,Sin motivo claro / nombre genérico
Brujas Disco-Bar,Sin motivo claro / nombre genérico
Bruna,Sin motivo claro / nombre genérico
Bruni,Sin motivo claro / nombre genérico
Brusco café & Bar,Sin motivo claro / nombre genérico
Bruxx,Sin motivo claro / nombre genérico
Bryant,Sin motivo claro / nombre genérico
Bs. As. City,Sin motivo claro / nombre genérico
Bucarest,Sin motivo claro / nombre genérico
Budabar,Sin motivo claro / nombre genérico
Buenas Aguas,Sin motivo claro / nombre genérico
Buenas Costumbres,Sin motivo claro / nombre genérico
Buenos Aires,Sin motivo claro / nombre genérico
Buenos Aires,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Bakery,Sin motivo claro / nombre genérico
Buenos Aires Verde,Sin motivo claro / nombre genérico
Buenos Aires Verde,Sin motivo claro / nombre genérico
Buenos Aires Verde,Sin motivo claro / nombre genérico
Buenos Ayres Pizza,Sin motivo claro / nombre genérico
Buffet Arriba,Sin motivo claro / nombre genérico
Buffet Club Colegiales,Sin motivo claro / nombre genérico
Buffet Laly,Sin motivo claro / nombre genérico
